date,campaignn,adgroup,ad,impressions,clicks,costs,leads
01.03.18,campaign_2,adgroup_1,ad_1,92,51,12,0
02.03.18,campaign_2,adgroup_1,ad_1,168,52,12,5
03.03.18,campaign_2,adgroup_1,ad_1,110,61,14,1
04.03.18,campaign_2,adgroup_1,ad_1,145,44,10,1
05.03.18,campaign_2,adgroup_1,ad_1,177,54,11,2
06.03.18,campaign_2,adgroup_1,ad_1,157,48,10,4
07.03.18,campaign_2,adgroup_1,ad_1,132,41,9,4
08.03.18,campaign_2,adgroup_1,ad_1,197,59,12,2
09.03.18,campaign_2,adgroup_1,ad_1,137,53,12,4
10.03.18,campaign_2,adgroup_1,ad_1,167,49,10,0
11.03.18,campaign_2,adgroup_1,ad_1,105,43,10,0
12.03.18,campaign_2,adgroup_1,ad_1,119,51,11,2
13.03.18,campaign_2,adgroup_1,ad_1,131,38,9,5
14.03.18,campaign_2,adgroup_1,ad_1,144,59,12,2
01.03.18,campaign_2,adgroup_1,ad_2,56,31,8,3
02.03.18,campaign_2,adgroup_1,ad_2,87,30,7,1
03.03.18,campaign_2,adgroup_1,ad_2,61,31,7,3
04.03.18,campaign_2,adgroup_1,ad_2,72,26,6,3
05.03.18,campaign_2,adgroup_1,ad_2,81,24,6,2
06.03.18,campaign_2,adgroup_1,ad_2,83,28,7,1
07.03.18,campaign_2,adgroup_1,ad_2,46,23,5,3
08.03.18,campaign_2,adgroup_1,ad_2,91,26,6,2
09.03.18,campaign_2,adgroup_1,ad_2,117,37,8,3
10.03.18,campaign_2,adgroup_1,ad_2,86,36,8,3
11.03.18,campaign_2,adgroup_1,ad_2,86,33,8,2
12.03.18,campaign_2,adgroup_1,ad_2,116,36,9,3
13.03.18,campaign_2,adgroup_1,ad_2,86,40,9,3
14.03.18,campaign_2,adgroup_1,ad_2,82,32,8,3
